et	de	en	lt	lv
Suurenemisel 1 mm võrra teeb pikk osuti numbrinäidikul ühe ringi.	"Ein Anstieg von 1 mm führt dazu, dass der lange Zeiger eine Umdrehung auf der Skala vollzieht."	An increase of 1 mm causes the long pointer to complete one rotation of the dial.	"Padidinus 1 mm, ilgoji rodyklė atliks vieną ciferblato apsisukimą."	"Ja palielinājums ir 1 mm, garā šautra veic pilnu apgriezienu pa ciparnīcu."
Teine meetod rihma pingsuse kontrollimiseks on kasutada rihma pinguse mõõturit.	Eine andere Methode ist die Inspektion der Riemenspannung unter Verwendung eines Riemenspannungsmessgeräts.	Another method is to inspect the belt tension by using a belt tension gauge.	Kitas būdas yra patikrinti diržo įtempimą naudojant diržo įtempimo matuoklį.	"Vēl viena metode ir siksnas spriegojuma pārbaude, izmantojot siksnas spriegojuma mērierīci."
Iga õlimahu vähenemine osutab õlilekkele.	Jede Reduktion des Ölvolumens deutet auf ein Leck im Öl hin.	Any reduction in the oil volume indicates an oil leak.	Menkiausias alyvos lygio sumažėjimas įspėja apie alyvos nuotėkį.	Jebkāds eļļas tilpuma samazinājums liecina par eļļas noplūdi.
Lisage õli kütusefiltri hoiatuslüliti o-rõngale.	Bringen Sie Kraftstoff am O-Ring des Kraftstofffilter-Warnschalters an.	Apply fuel to the O-ring of the fuel filter warning switch.	Įpilkite degalų į degalų filtro įspėjimo signalo jungiklio žiedinį tarpiklį.	Uzklājiet degvielu uz degvielas filtra brīdinājuma slēdža blīvgredzena.
"Pange alasi (1) vastu eset, mida te soovite mõõta ja keerake otsakut (5) kuni võllini (2), mis puudutab eset õrnalt. 2."	"Wenden Sie den Amboss (1) am zu messenden Objekt an und drehen Sie die Meßtrommel (5), bis die Spindel (2) das Objekt leicht berührt. 2."	Apply the anvil (1) against the item to be measured and rotate the thimble (5) until the spindle (2) is touching the item gently. 2.	"Pagrindą (1) atitaikykite su matuojama dalimi ir sukite antgalį (5), kol suklys (2) švelniai palies dalį. 2."	"Novieto atbalstu (1) pret izmērāmo priekšmetu un griež uzgali (5), līdz ass (2) viegli pieskaras objektam. 2."
Tugevuse lisamine 2	Kraft anwenden 2.	Applying strength 2	Naudojamas stiprumas 2	Spēka pielikšana 2
Õlg	Ausrüstung	Arm	Svirtis	Balstenis
"Mis puutub elektrivarustusse, pidage silmas: kõik pistikupesad on kindlalt kinnitatud seinale."	Stellen Sie bezüglich der elektrischen Geräte sicher: Alle Steckdosen sind fest an der Wand angebracht.	"As regards electrical equipment, make sure: All electrical outlets are firmly attached to the wall."	"Tikrindami elektros įrangą, įsitikinkite: Kad visi elektros lizdai yra gerai pritvirtinti prie sienos."	"Attiecībā uz elektroiekārtām pārliecinieties, vai: Visas kontaktligzdas ir stingri piestiprinātas pie sienas."
Aasia ja Okeaania tootmistehased	Produktionsanlagen in Asien und Ozeanien	Asia & Oceania Manufacturing Plants	Azijos ir Okeanijos gamyklos	Āzijas un Okeānijas ražotnes
"Kell viis on üks tehnik väsinud ja ta jalad valutavad, samal ajal läheb teine tehnik pärast tööd jooksma."	"Ein Techniker ist um 17 Uhr müde und hat schmerzende Füße, während ein anderer Techniker nach der Arbeit eine Runde joggen geht."	"At five o’ clock, one technician is tired and his feet ache while another technician goes for a run after work."	"Penktą valandą vienas technikas yra pavargęs ir jam skauda kojas, o kitas technikas eina po darbo pabėgioti."	"Pulksten piecos pēcpusdienā viens tehniķis ir noguris, un viņam sāp kājas, savukārt cits pēc darba dodas skriet."
Siinkohal  kirjeldame järgmiste autoosade hooldustoiminguid:  Rattalaagrid Ratta eemaldamine Rehvid Ketaspidurid Trummelpidurid	Nach dieser Position werden wir die folgenden Servicepunkte betrachten: Radlager Entfernung des Rads Reifen Scheibenbremsen Trommelbremsen	At this position we will have a look at the following service items: Wheel bearings Wheel removal Tires Disc brakes Drum brakes	"Šioje vietoje peržiūrėsime šiuos techninės priežiūros elementus: rato guolius, rato nuėmimą, padangas, diskinius stabdžius, būgninius stabdžius"	Šajā pozīcijā jāņem vērā šādi apkopes elementi: Riteņa gultņi Riteņa noņemšana Riepas Disku bremzes Loku bremzes
"Tarvikute seisukord. Kontrollige, et veenduda, kas kütusepaagi kork on korralikult kinni keeratud."	"Zustand des Zubehörs Stellen Sie sicher, dass der Tankdeckel korrekt zugeschraubt ist."	Attachment condition Inspect to make sure that the fuel tank cap is screwed on correctly.	"Priedo būsena Apžiūrėkite, kad įsitikintumėte, jog degalų bako dangtelis tinkamai užsuktas."	"Savienojuma stāvoklis Pārbaudiet, vai degvielas tvertnes vāciņš uz uzskrūvēts pareizi."
Automaatfunktsioon: Tehke anduri piirkond märjaks ja kontrollige kojameeste tööd.	Autofunktion: Benässen Sie den Bereich des Sensors und überprüfen Sie die Funktion der Wischer.	Auto function: Make the sensor area wet and check the wiper operation.	Automatinis veikimas: sudrėkinkite jutiklio vietą ir patikrinkite valytuvo veikimą.	Automātiskā funkcija: Apsmidziniet sensoru zonu un pārbaudiet tīrītāju darbību.
Automaatne pinguti	Automatischer Spanner	Automatic Tensioner	Automatinis tempiklis	Automātiskā spriegotājierīce
Automaatkast Automaatkasti vedelik (ATF) kahjustub kasutamisel	Automatikgetriebe Automatikgetriebeöl (ATF) verschlechtert sich mit dem Gebrauch.	Automatic Transmission Automatic Transmission Fluid (ATF) deteriorates with use.	Automatinė transmisija Automatinės transmisijos alyva nuo naudojimo prastėja.	Automātiskā transmisija Automātiskās transmisijas šķidruma (ATF) kvalitāte laika gaitā pasliktinās.
Ümaraotsaline haamer	Kugelhammer	Ball Peen Hammer	Plaktukas apvalia galvute	Apaļgalvas - ķīļveida āmurs
Põhiteadmised korrapärasest hooldusest	Grundkenntnisse der regelmäßigen Wartung	Basic Knowledge of Periodic Maintenance	Periodinės techninės priežiūros bazinės žinios	Pamatzināšanas par periodisko apkopi
Põhitööd teeninduse piirkonnas	Grundlegende Dienste im Servicebereich	Basic Operations in the Service Area	Bazinės operacijos techninės priežiūros zonoje	Pamatdarbības apkopes jomā
Aku	Batterie	Battery	Akumuliatorius	Akumulators
"Aku laadimine peab toimuma väikeses, ilma ventilatsioonita ruumis."	Die Batterie muss in einem kleinen Raum ohne Lüftung geladen werden.	Battery charging must be done in a small room without ventilation.	Akumuliatorius turi būti įkraunamas nedidelėje patalpoje be vėdinimo.	"Akumulators jāuzlādē nelielā telpā, kurā nav ventilācijas."
Aku paigaldamine ja ühendused	Halterung der Batterie und Verbindungen	Battery mount and connections	Akumuliatoriaus atrama ir jungtys	Akumulatora stiprinājums un savienojumi
"Olge tähelepanelik, et ei pingutaks liiga kõvasti."	"Passen Sie auf, dass Sie nicht zu festziehen."	Be careful not to over-tighten.	Stenkitės neperveržti.	"Uzmanieties, lai nepievilktu pārāk stingri."
Sinine = laadige aku	Blau = Batterie laden	Blue = Charge Battery	Mėlyna = įkrauti akumuliatorių	Zils = uzlādējiet akumulatoru
Sinine = OK	Blau = OK	Blue = OK	Mėlyna = gerai	Zils = OK
Poldid keeratakse momentvõtme abil remondijuhendis ettenähtud pingutusmomendiga kinni.	"Schrauben werden mit einem Drehmomentschlüssel zum festgelegten Drehmoment angezogen, der dem Reparaturhandbuch entnommen wird."	Bolts are tightened with a torque wrench to the specified torque indicated in the repair manual.	Varžtai užveržiami dinamometriniu raktu taikant remonto instrukcijoje nurodytą sukimo momentą.	"Skrūves pievelk, izmantojot dinamometrisko atslēgu, ar noteikto pievilkšanas spēku, kas norādīts remontdarbu rokasgrāmatā."
"Sõidukites kasutatavad poldid on valitud vastavalt nende tugevusele ja suurusele, mida vastavas valdkonnas vaja."	"In Fahrzeugen verwendete Schrauben werden danach ausgewählt, welche Stärke und Größe für den jeweiligen Anwendungsbereich benötigt werden."	Bolts used in vehicles are selected according to the strength and size required for the respective areas of use.	"Automobilio surinkimui naudojami varžtai yra parenkami atsižvelgiant į tai, kokia jėga ir dydis reikalingi atitinkamoms sritims."	"Transportlīdzekļiem izmantojamās skrūves izvēlas, ņemot vērā to izturību un izmēru, kas vajadzīgs attiecīgajās pielietojuma jomās."
Mõlemal on peaaegu samad koostisosad.	Beide haben fast dieselben Zutaten.	Both have almost the same ingredients.	Abiejų ingredientai yra beveik vienodi.	Abiem ir gandrīz vienas un tās pašas sastāvdaļas.
Silmusvõti	Gekröpfter Schraubenschlüssel (gekröpfter Schraubenschlüssel)	Boxed Wrench (Offset Wrench)	Žiedinis raktas	Aptverošā atslēga (izliektā uzgriežņu atslēga)
"Piduri lohisemine. Tõmmake käsipiduri hooba mitu korda ja vajutage piduripedaali mitu korda, et lasta piduriklotsidel paigale asetuda."	"Ziehen der Bremse Betätigen Sie den Stellbremshebel einige Male und drücken Sie das Bremspedal einige Male herunter, um den Bremsschuh einrasten zu lassen."	Brake Drag Operate the parking brake lever several times and depress the brake pedal several times in order to allow the brake shoes to settle.	"Stabdžių užstrigimas Kelis kartus patraukite stovėjimo stabdžio svirtį ir nuspauskite stabdžio pedalą kelis kartus, kad susireguliuotų stabdžių trinkelės."	"Bremžu ķīlēšanās Vairākas reizes darbiniet stāvbremzes sviru un vairākas reizes nospiediet bremžu pedāli, lai bremžu loki varētu noregulēties."
Pidurivedeliku vahetus	Wechseln der Bremsflüssigkeit	Brake Fluid Change	Stabdžių skysčio keitimas	Bremžu šķidruma nomaiņa
Pidurivedeliku vahetus	Wechseln der Bremsflüssigkeit	Brake fluid change	Stabdžių skysčio keitimas	Bremžu šķidruma nomaiņa
Piduriõli on hügroskoopne.	Bremsflüssigkeit ist hygroskopisch.	Brake fluid is hygroscopic.	Stabdžių skystis yra higroskopinis.	Bremžu šķidrums ir higroskopisks.
"Pidurivedelik peab olema punast värvi, et eristada seda muudest vedelikest."	"Bremsflüssigkeit muss rotgefärbt sein, um sie von anderen Flüssigkeiten unterscheiden zu können."	Brake fluid must have a red colour to distinguish it from other fluids.	"Stabdžių skystis turi būti raudonos spalvos, kad skirtųsi nuo kitų skysčių."	"Bremžu šķidrumiem jābūt sarkanā krāsā, lai tos varētu atšķirt no citiem šķidrumiem."
Pidurivedeliku asendamine	Austausch der Bremsflüssigkeit	Brake Fluid Replacement	Stabdžių skysčio keitimas	Bremžu šķidruma nomaiņa
Pidurivoolikud	Bremsleitungen	Brake Lines	Stabdžių magistralė	Bremžu sistēmas cauruļvadi
Piduripadja asendamine	Austausch des Bremsklotzes:	Brake pad replacement	Stabdžių trinkelės keitimas	Bremžu kluču nomaiņa
Piduripadjad ja -kettad	Bremsklötze und Scheiben	Brake pads and discs	Stabdžių trinkelės ir diskai	Bremžu kluči un diski
Piduripedaal	Bremspedal	Brake pedal	Stabdžių pedalas	Bremžu pedālis
"Pidurid. Piduripedaal. Õige piduripedaali käik on nõutav, et saavutada vajalikku pidurdusjõudu. Seadistage pidurid, et need ei „lohiseks” või „ei hoiaks kinni”, kui piduripedaali ei vajutata. Pildid näitavad kontrollimisvahendeid piduripedaalide jaoks. Lisaks tuleb kontrollida pidurivõimendit selle töötamise osas."	"Bremsen Bremspedal Der korrekte Hub des Bremspedals ist notwendig, um die volle Bremskraft zu erreichen. Stellen Sie die Bremsen so ein, dass sie nicht „Schleifen“ oder „Stocken“, wenn das Bremspedal nicht heruntergedrückt ist. Auf den Illustrationen sind die Objekte für die Inspektion des Bremspedals dargestellt. Zusätzlich muss der Bremskraftverstärker hinsichtlich seiner Funktionalität überprüft werden."	"Brakes Brake Pedal Correct brake pedal stroke is required to attain the proper braking force. Adjust the brakes so that they are not ""Dragging"" or ""Holding on"" when the brake pedal is not depressed. The illustrations show the inspection items for the brake pedal. Additionally, the brake booster needs to be inspected with regard to its functioning."	"Stabdžiai Stabdžių pedalas Tinkamas stabdžių pedalo taktas būtinas norint pasiekti reikiamą stabdymo jėgą. Sureguliuokite stabdžius, kad jie nestrigtų ir neužsilaikytų, kai stabdžių pedalas nėra nuspaustas. Iliustracijoje parodyti apžiūrimi stabdžių pedalo elementai. Taip pat reikia patikrinti stabdžių stiprintuvo veikimo."	"Bremzes Bremžu pedālis Lai sasniegtu atbilstošo bremzēšanas spēku, ir vajadzīgs pareizs bremžu pedāļa gājiens. Noregulējiet bremzes tā, lai tās ""neķīlētos"" vai ""neturētos"", kad bremžu pedālis nav nospiests. attēlos ir parādīti pārbaudes elementi attiecībā uz bremžu pedāli. Turklāt jāpārbauda, vai darbojas bremžu pastiprinātājs."
Haarde kuju muutmisel tekib juurde lõputuid kasutusvõimalusi.	"Indem die Backen ausgetauscht werden, gibt es viele Zwecke."	By changing the design of the jaw the purposes are numerous.	Žiočių konstrukcijos pakeitimas gali būti įvairios paskirties.	"Mainot spailes konstrukciju, knaibles var izmantot vairākiem mērķiem."
"Aru saades üksteise kohustustest, just nagu boksipeatuses formula1 võistlustel, on lihtsam üksteisega koos töötada ja selle tulemuseks on parem meeskonnatöö."	"Sind alle Zuständigkeiten geklärt und klar kommuniziert, wie bei einem Boxenstopp in der Formel 1, ist es einfacher, miteinander zu arbeiten. Das zeigt sich in besserer Teamarbeit."	"By understanding each other’s responsibilities, just like during a pit stop in formula 1, it is easier to work with each other and this results in better teamwork."	"Suvokiant vienas kito pareigas, kaip kad per tarpinį Formulės 1 lenktynių sustojimą, yra daug paprasčiau dirbti vienas su kitu, o tai atsiliepia geresniais komandinio darbo rezultatais."	"Izprotot cits cita pienākumus, tāpat kā pirmās formulas ""pitstopā"", ir vieglāk sadarboties un attiecīgi uzlabojas komandas darba kvalitāte."
"Kaablit ei tohi kahjustada autotõstukiga, kuumaõhupüstoliga, kuuma õhu väljalasketoruga jne."	"Die Kabel können von Hebebühnen, Heißluftpistolen, heißen Auspuffrohren usw. nicht beschädigt werden."	"Cables can not be damaged by car lifts, hot air guns, hot exhaust pipes etc."	"Kabelių negalima sugadinti automobilių keltuvais, karšto oro fenais, įkaitusiais išmetamaisiais vamzdžiais ir pan."	"Vadus nevar sabojāt automobiļu pacēlāji, karstā gaisa pistoles, karstā gaisa izplūdes caurules utt."
"Mõõdu Väärtus A + väärtus B arvutamine järgmises näites: 55,5 + 0,45 = 55,95 (mm)"	"Berechnung der Messung Wert A + Wert B In diesem Beispiel: 55,5 + 0,45 = 55,95 (mm)"	Calculation of the measurement Value A + Value B In this example: 55.5 + 0.45 = 55.95 (mm)	"Matavimo skaičiavimas A reikšmė + B reikšmė Šiame pavyzdyje: 55,5 + 0,45 = 55,95 (mm)"	"Mērījuma aprēķināšana Vērtība A + vērtība B Šajā piemērā: 55,5 + 0,45 = 55,95 (mm)"
Pidurisadul	Messschieber	Caliper	Apkaba	Bīdmērs
Seda saab kasutada väikeste seadmeosade eemaldamiseks ja vahetamiseks.	Kann zum Entfernen und Austauschen von Kleinteilen verwendet werden.	Can be used to remove and replace small parts.	Galima naudoti mažoms dalims nuimti ir pakeisti.	Var izmantot mazu detaļu atskrūvēšanai un nomaiņai.
"Saab kasutada kohas, kus on vaja suurt pingutusmomenti."	"Kann verwendet werden, wenn ein großes Drehmoment benötigt wird."	Can be used where the application of a large torque is required.	"Galima naudoti, kai reikalingas didelis sukimo momentas."	"Var izmantot gadījumos, kad jāpieliek liels pievilkšanas spēks."
"Mis Te arvate, kas mõni sõidukiosa võib kliendile olla tüütu?"	"Können Sie sich Punkte vorstellen, die den Kunden stören würden?"	Can you think of some items that could be annoying for the customer?	"Ar galite įsivaizduoti, kurie daiktai galėtų erzinti klientą?"	"Vai Jūs varat iedomāties dažus aspektus, kas klientam varētu šķist kaitinoši?"
Autohooldus	Autopflege	Car Care	Automobilio priežiūra	Automobiļa kopšana
Auto tõsteasendid	Hebebühnenpositionen	Car Lift Positions	Automobilio keltuvo padėtys	Automobiļu celšanas pozīcijas
Kontrollige turvavööd vastavalt hooldusgraafiku intervallile.	Führen Sie die Inspektion des Antriebsriemens regelmäßig laut Wartungsplan durch.	Carry out the drive belt inspection interval according to the maintenance schedule.	Tikrinkite pavaros diržą techninės priežiūros tvarkaraštyje nurodytais intervalais.	"Veiciet piedziņas siksnas pārbaudi atbilstoši intervāliem, kas norādīti apkopes grafikā."
